0.359798 0.052724 0.060253 0.499422 0.733064 0.267465 0
0.619274 0.189138 0.406118 0.232300 0.459636 0.659042 0
0.639527 0.501506 0.979046 0.943030 0.201164 0.457331 0
0.393453 0.397436 0.041926 0.416876 0.978251 0.585167 0
0.352840 0.019615 0.162845 0.642887 0.602894 0.904657 0
0.795811 0.756764 0.708524 0.147342 0.711857 0.262471 0
0.990439 0.024766 0.840315 0.781559 0.989145 0.590250 1
0.789280 0.151726 0.362757 0.729702 0.603019 0.407630 1
0.157783 0.039594 0.636134 0.853263 0.446433 0.816156 1
0.831422 0.387378 0.265973 0.020566 0.570112 0.102036 1
0.223385 0.245726 0.549084 0.242753 0.152291 0.435995 1
0.172154 0.122386 0.508996 0.645416 0.622478 0.522734 1
